id,sepal_length,sepal_width,class,petal_length,petal_width,outlier_knn,outlier_abod_alt,cluster,outlier_type,is_outlier_any
87,6.7,3.1,Iris-versicolor,4.7,1.5,0,0,Cluster 0,Normal,0
88,6.3,2.3,Iris-versicolor,4.4,1.3,0,0,Cluster 0,Normal,0
89,5.6,3.0,Iris-versicolor,4.1,1.3,0,0,Cluster 0,Normal,0
90,5.5,2.5,Iris-versicolor,4.0,1.3,0,0,Cluster 0,Normal,0
91,5.5,2.6,Iris-versicolor,4.4,1.2,0,0,Cluster 0,Normal,0
92,6.1,3.0,Iris-versicolor,4.6,1.4,0,0,Cluster 0,Normal,0
93,5.8,2.6,Iris-versicolor,4.0,1.2,0,0,Cluster 0,Normal,0
95,5.6,2.7,Iris-versicolor,4.2,1.3,0,0,Cluster 0,Normal,0
96,5.7,3.0,Iris-versicolor,4.2,1.2,0,0,Cluster 0,Normal,0
97,5.7,2.9,Iris-versicolor,4.2,1.3,0,0,Cluster 0,Normal,0
98,6.2,2.9,Iris-versicolor,4.3,1.3,0,0,Cluster 0,Normal,0
100,5.7,2.8,Iris-versicolor,4.1,1.3,0,0,Cluster 0,Normal,0
101,6.3,3.3,Iris-virginica,6.0,2.5,0,0,Cluster 2,Normal,0
102,5.8,2.7,Iris-virginica,5.1,1.9,0,0,Cluster 0,Normal,0
103,7.1,3.0,Iris-virginica,5.9,2.1,0,0,Cluster 2,Normal,0
104,6.3,2.9,Iris-virginica,5.6,1.8,0,0,Cluster 2,Normal,0
105,6.5,3.0,Iris-virginica,5.8,2.2,0,0,Cluster 2,Normal,0
108,7.3,2.9,Iris-virginica,6.3,1.8,0,0,Cluster 2,Normal,0
109,6.7,2.5,Iris-virginica,5.8,1.8,0,0,Cluster 2,Normal,0
111,6.5,3.2,Iris-virginica,5.1,2.0,0,0,Cluster 2,Normal,0
112,6.4,2.7,Iris-virginica,5.3,1.9,0,0,Cluster 2,Normal,0
113,6.8,3.0,Iris-virginica,5.5,2.1,0,0,Cluster 2,Normal,0
114,5.7,2.5,Iris-virginica,5.0,2.0,0,0,Cluster 0,Normal,0
115,5.8,2.8,Iris-virginica,5.1,2.4,0,0,Cluster 0,Normal,0
116,6.4,3.2,Iris-virginica,5.3,2.3,0,0,Cluster 2,Normal,0
117,6.5,3.0,Iris-virginica,5.5,1.8,0,0,Cluster 2,Normal,0
120,6.0,2.2,Iris-virginica,5.0,1.5,0,0,Cluster 0,Normal,0
121,6.9,3.2,Iris-virginica,5.7,2.3,0,0,Cluster 2,Normal,0
122,5.6,2.8,Iris-virginica,4.9,2.0,0,0,Cluster 0,Normal,0
124,6.3,2.7,Iris-virginica,4.9,1.8,0,0,Cluster 0,Normal,0
125,6.7,3.3,Iris-virginica,5.7,2.1,0,0,Cluster 2,Normal,0
126,7.2,3.2,Iris-virginica,6.0,1.8,0,0,Cluster 2,Normal,0
127,6.2,2.8,Iris-virginica,4.8,1.8,0,0,Cluster 0,Normal,0
128,6.1,3.0,Iris-virginica,4.9,1.8,0,0,Cluster 0,Normal,0
129,6.4,2.8,Iris-virginica,5.6,2.1,0,0,Cluster 2,Normal,0
130,7.2,3.0,Iris-virginica,5.8,1.6,0,0,Cluster 2,Normal,0
131,7.4,2.8,Iris-virginica,6.1,1.9,0,0,Cluster 2,Normal,0
133,6.4,2.8,Iris-virginica,5.6,2.2,0,0,Cluster 2,Normal,0
134,6.3,2.8,Iris-virginica,5.1,1.5,0,0,Cluster 0,Normal,0
135,6.1,2.6,Iris-virginica,5.6,1.4,0,0,Cluster 2,Normal,0
137,6.3,3.4,Iris-virginica,5.6,2.4,0,0,Cluster 2,Normal,0
138,6.4,3.1,Iris-virginica,5.5,1.8,0,0,Cluster 2,Normal,0
139,6.0,3.0,Iris-virginica,4.8,1.8,0,0,Cluster 0,Normal,0
140,6.9,3.1,Iris-virginica,5.4,2.1,0,0,Cluster 2,Normal,0
141,6.7,3.1,Iris-virginica,5.6,2.4,0,0,Cluster 2,Normal,0
142,6.9,3.1,Iris-virginica,5.1,2.3,0,0,Cluster 2,Normal,0
143,5.8,2.7,Iris-virginica,5.1,1.9,0,0,Cluster 0,Normal,0
144,6.8,3.2,Iris-virginica,5.9,2.3,0,0,Cluster 2,Normal,0
145,6.7,3.3,Iris-virginica,5.7,2.5,0,0,Cluster 2,Normal,0
146,6.7,3.0,Iris-virginica,5.2,2.3,0,0,Cluster 2,Normal,0
147,6.3,2.5,Iris-virginica,5.0,1.9,0,0,Cluster 0,Normal,0
148,6.5,3.0,Iris-virginica,5.2,2.0,0,0,Cluster 2,Normal,0
149,6.2,3.4,Iris-virginica,5.4,2.3,0,0,Cluster 2,Normal,0
150,5.9,3.0,Iris-virginica,5.1,1.8,0,0,Cluster 0,Normal,0
